time,open,high,low,close,Volume,Volume MA
2020-05-07T00:00:00Z,4.4e-7,4.5e-7,3.9e-7,4e-7,3.0731602089209966,3.0711586062542584
2020-05-08T00:00:00Z,4e-7,4.2e-7,3.9e-7,4e-7,3.3553678382019996,3.173976584859008
2020-05-09T00:00:00Z,4e-7,4.3e-7,4e-7,4.1e-7,2.1532991657469966,3.1846957535719578
2020-05-10T00:00:00Z,4e-7,4.3e-7,3.8e-7,4.2e-7,5.312751187752992,3.3164713915891575
2020-05-11T00:00:00Z,4.2e-7,4.7e-7,4.1e-7,4.6e-7,3.8520973470699933,3.3585998812183577
2020-05-12T00:00:00Z,4.7e-7,4.7e-7,4.3e-7,4.4e-7,1.9753225895189936,3.4096153103861573
2020-05-13T00:00:00Z,4.4e-7,5.2e-7,4.4e-7,4.9e-7,5.920769347455984,3.661714963969957
2020-05-14T00:00:00Z,5e-7,5.8e-7,5e-7,5.7e-7,11.024363594488978,4.031833482385306
2020-05-15T00:00:00Z,5.6e-7,5.8e-7,5.2e-7,5.5e-7,8.800583077886984,4.319696264711455
2020-05-16T00:00:00Z,5.5e-7,5.5e-7,5e-7,5.1e-7,5.7572351564729844,4.449873209748904
2020-05-17T00:00:00Z,5.1e-7,5.2e-7,4.6e-7,4.7e-7,4.178350444048993,4.334072380280204
2020-05-18T00:00:00Z,4.7e-7,5.1e-7,4.6e-7,4.7e-7,2.0608175865929996,4.258899513145954
2020-05-19T00:00:00Z,4.7e-7,5.3e-7,4.7e-7,5e-7,1.7190207099759962,4.046782051038754
2020-05-20T00:00:00Z,4.9e-7,5.7e-7,4.9e-7,5.4e-7,3.467300344054992,3.974292991471154
2020-05-21T00:00:00Z,5.4e-7,5.6e-7,4.9e-7,5.3e-7,4.457154194521,3.994471821806454
2020-05-22T00:00:00Z,5.3e-7,6.1e-7,5.2e-7,5.8e-7,5.217186504012987,4.209741208692603
2020-05-23T00:00:00Z,5.7e-7,6.6e-7,5.6e-7,6.4e-7,3.5167806320879937,4.318457783334653
2020-05-24T00:00:00Z,6.4e-7,6.9e-7,6e-7,6.3e-7,6.541246596239985,4.468646384200903
2020-05-25T00:00:00Z,6.3e-7,6.9e-7,6.2e-7,6.4e-7,4.249921723272995,4.488813297821502
2020-05-26T00:00:00Z,6.3e-7,7e-7,6.3e-7,6.6e-7,6.742096100473979,4.668741217439951
2020-05-27T00:00:00Z,6.5e-7,6.7e-7,5.8e-7,6e-7,5.316886525109984,4.7809275332494
